City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Axim,GH,2022-02-19 17:21:46,4.8699,-2.2405,82.81,73,97,10.67
1,Gwadar,PK,2022-02-19 17:21:47,25.1216,62.3254,72.66,62,0,8.34
2,Assiniboia,CA,2022-02-19 17:21:47,49.6334,-105.9845,33.62,64,70,19.57
3,Punta Arenas,CL,2022-02-19 17:16:57,-53.15,-70.9167,46.42,78,100,14.97
4,Hermanus,ZA,2022-02-19 17:21:47,-34.4187,19.2345,70.9,82,30,9.48
5,Rikitea,PF,2022-02-19 17:21:47,-23.1203,-134.9692,78.04,70,13,9.13
6,Zachepylivka,UA,2022-02-19 17:21:48,49.1939,35.2394,39.33,90,100,19.33
7,Cabo San Lucas,MX,2022-02-19 17:20:13,22.8909,-109.9124,74.61,63,40,5.01
8,Kirkland Lake,CA,2022-02-19 17:21:48,48.1446,-80.0377,3.49,60,100,14.58
9,Kerewan,GM,2022-02-19 17:21:48,13.4898,-16.0888,87.91,9,14,5.93
10,Seoul,KR,2022-02-19 17:20:46,37.5683,126.9778,22.51,45,0,13.8
11,Katsuura,JP,2022-02-19 17:21:49,35.1333,140.3,51.82,84,100,32.59
12,Dudinka,RU,2022-02-19 17:21:49,69.4058,86.1778,20.62,95,100,19.37
13,Taseyevo,RU,2022-02-19 17:21:50,57.2169,94.8978,3.45,100,98,2.17
14,Hobart,AU,2022-02-19 17:21:50,-42.8794,147.3294,57.06,75,100,6.91
15,Gazanjyk,TM,2022-02-19 17:21:51,39.2446,55.5154,55.09,36,1,4.79
16,Luyang,CN,2022-02-19 17:21:51,27.6239,110.0989,37.18,84,100,6.31
17,Santa Maria,BR,2022-02-19 17:21:36,-29.6842,-53.8069,87.1,40,20,10.36
18,Khatanga,RU,2022-02-19 17:21:52,71.9667,102.5,-29.34,100,8,4.59
19,Qaanaaq,GL,2022-02-19 17:21:52,77.484,-69.3632,-1.21,51,17,8.52
20,Airai,TL,2022-02-19 17:21:53,-8.9266,125.4092,60.42,92,100,1.63
21,Chuy,UY,2022-02-19 17:21:53,-33.6971,-53.4616,77.65,57,37,10.69
22,Beringovskiy,RU,2022-02-19 17:21:53,63.05,179.3167,-14.67,96,50,13.11
23,Albany,US,2022-02-19 17:19:03,42.6001,-73.9662,30.61,80,100,12.39
24,Sangar,RU,2022-02-19 17:21:54,63.9242,127.4739,-36.74,100,97,1.16
25,Le Vauclin,MQ,2022-02-19 17:19:12,14.5452,-60.8388,84.25,58,40,17.27
26,Puerto Ayora,EC,2022-02-19 17:21:54,-0.7393,-90.3518,85.96,86,28,7.0
27,Husavik,IS,2022-02-19 17:21:55,66.0449,-17.3389,17.51,82,11,9.93
28,Bredasdorp,ZA,2022-02-19 17:21:55,-34.5322,20.0403,70.92,73,50,19.57
29,Ushuaia,AR,2022-02-19 17:20:15,-54.8,-68.3,47.86,49,75,3.44
30,Vetluga,RU,2022-02-19 17:21:55,57.8557,45.781,32.5,89,100,13.73
31,Cidreira,BR,2022-02-19 17:21:56,-30.1811,-50.2056,77.04,61,0,10.42
32,Longyearbyen,SJ,2022-02-19 17:21:56,78.2186,15.6401,3.04,72,40,16.11
33,Atuona,PF,2022-02-19 17:21:56,-9.8,-139.0333,78.04,73,15,22.19
34,Cape Town,ZA,2022-02-19 17:19:56,-33.9258,18.4232,72.88,69,20,4.61
35,Salisbury,GB,2022-02-19 17:21:57,51.0693,-1.7957,51.51,69,75,24.16
36,La Seyne-Sur-Mer,FR,2022-02-19 17:21:57,43.0982,5.8847,56.93,47,100,8.01
37,Portland,US,2022-02-19 17:19:40,45.5234,-122.6762,43.45,94,100,3.44
38,Shenjiamen,CN,2022-02-19 17:21:57,29.9576,122.298,39.16,62,100,26.51
39,Ribeira Grande,PT,2022-02-19 17:21:58,38.5167,-28.7,59.4,51,75,5.75
40,New Norfolk,AU,2022-02-19 17:21:58,-42.7826,147.0587,56.7,62,100,2.91
41,Lumsden,CA,2022-02-19 17:21:58,50.6501,-104.8678,34.77,86,97,12.71
42,Tasiilaq,GL,2022-02-19 17:21:59,65.6145,-37.6368,15.96,59,100,32.48
43,Hamilton,US,2022-02-19 17:18:07,39.1834,-84.5333,31.62,46,0,18.41
44,Staryy Nadym,RU,2022-02-19 17:21:59,65.6118,72.6842,24.37,92,100,18.25
45,Jamestown,US,2022-02-19 17:23:00,42.097,-79.2353,21.09,62,100,24.16
46,Souillac,MU,2022-02-19 17:23:00,-20.5167,57.5167,79.36,100,75,18.41
47,Lasa,IT,2022-02-19 17:23:00,46.6166,10.7002,44.51,95,100,3.15
48,Lebu,CL,2022-02-19 17:23:01,-37.6167,-73.65,65.07,76,1,9.28
49,Torbay,CA,2022-02-19 17:23:01,47.6666,-52.7314,29.88,71,75,9.22
50,Sitka,US,2022-02-19 17:23:01,57.0531,-135.33,37.29,87,100,4.61
51,Itarema,BR,2022-02-19 17:23:02,-2.9248,-39.9167,87.21,57,84,11.54
52,Vaini,TO,2022-02-19 17:23:02,-21.2,-175.2,80.4,77,20,15.23
53,Busselton,AU,2022-02-19 17:23:02,-33.65,115.3333,64.04,81,100,13.67
54,Kapaa,US,2022-02-19 17:23:03,22.0752,-159.319,66.18,94,0,10.36
55,Avarua,CK,2022-02-19 17:23:03,-21.2078,-159.775,75.25,94,75,1.14
56,Marataizes,BR,2022-02-19 17:23:04,-21.0433,-40.8244,79.93,81,98,9.19
57,Cherskiy,RU,2022-02-19 17:23:04,68.75,161.3,-43.08,100,49,4.14
58,Butaritari,KI,2022-02-19 17:23:04,3.0707,172.7902,80.47,83,100,19.95
59,Chokurdakh,RU,2022-02-19 17:21:00,70.6333,147.9167,-34.96,100,89,2.24
60,Bambous Virieux,MU,2022-02-19 17:21:09,-20.3428,57.7575,79.21,100,75,18.41
61,Marsh Harbour,BS,2022-02-19 17:23:05,26.5412,-77.0636,77.49,75,0,9.26
62,Guerrero Negro,MX,2022-02-19 17:21:02,27.9769,-114.0611,65.01,30,0,1.25
63,Victoria,HK,2022-02-19 17:22:17,22.2855,114.1577,50.32,93,100,11.01
64,Kholodnyy,RU,2022-02-19 17:23:05,62.7167,147.95,-31.74,100,94,3.71
65,Omboue,GA,2022-02-19 17:23:06,-1.5746,9.2618,82.02,74,70,8.46
66,Guymon,US,2022-02-19 17:23:06,36.6828,-101.4816,49.48,37,0,10.36
67,Wanning,CN,2022-02-19 17:23:07,18.8003,110.3967,62.87,89,100,14.63
68,Camacha,PT,2022-02-19 17:23:07,33.0833,-16.3333,57.96,58,75,16.11
